appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
12510,Prison Tycoon 3™: Lockdown,game,9.99,00:00.0,-1,0,0
12420,Perimeter 2: New Earth,game,14.99,00:00.0,43,0,1
620,Portal 2,game,19.99,00:00.0,95,0,0
43600,Nancy Drew®: Warnings at Waverly Academy,game,6.99,00:00.0,76,0,0
275350,Sentinel 3: Homeworld,game,6.99,00:00.0,-1,0,0
20500,Red Faction Guerrilla Steam Edition,game,19.99,00:00.0,82,0,1
16130,Fish Tycoon,game,9.99,00:00.0,-1,0,0
23500,Puzzle Quest: Galactrix,game,9.99,00:00.0,72,0,1
289340,Freight Tycoon Inc.,game,4.99,00:00.0,-1,0,0
214850,GameMaker: Studio,game,0,00:00.0,-1,0,0
200010,Quantum Conundrum,game,8.99,00:00.0,77,0,0
6310,The Longest Journey,game,9.99,00:00.0,91,0,0
303510,Dungeons: The Eye of Draconus,game,3.99,00:00.0,-1,0,1
281260,Desert Gunner,game,4.99,00:00.0,-1,0,0
2700,RollerCoaster Tycoon® 3: Platinum,game,19.99,00:00.0,81,0,0
37300,DinerTown Tycoon,game,9.99,00:00.0,-1,0,0
303910,Time of Fury,game,19.99,00:00.0,-1,0,1
302320,Storm over the Pacific,game,9.99,00:00.0,-1,0,1
244730,Divekick,game,4.99,00:00.0,73,0,1
277560,Where Angels Cry,game,4.99,00:00.0,-1,0,0
243870,Tom Clancy's Ghost Recon Phantoms - NA,game,0,00:00.0,70,16,1
311040,Rulers of Nations,game,19.99,00:00.0,63,0,1
255070,Abyss Odyssey,game,14.99,00:00.0,69,13,0
50910,Professor Fizzwizzle and the Molten Mystery,game,9.99,00:00.0,-1,0,0
9340,Company of Heroes: Opposing Fronts,game,19.99,00:00.0,87,18,1
217920,Alien Rage - Unlimited,game,19.99,00:00.0,52,17,1
111600,Serious Sam Double D XXL,game,9.99,00:00.0,-1,0,0
32330,LEGO® Indiana Jones™: The Original Adventures,game,19.99,00:00.0,78,0,0
15910,Luxor Amun Rising,game,9.99,00:00.0,-1,0,0
